id,code,uic,naam,middel_naam,korte_naam,friendly,land,type,geo_lat,geo_lng
230,hdrz,8400303,Den Helder Zuid,Den Helder Zuid,Dn Heldr Z,den-helder-zuid,NL,stoptreinstation,52.93249893,4.764166832
137,dn,8400172,Deurne,Deurne,Deurne,deurne,NL,stoptreinstation,51.45583344,5.788888931
153,dv,8400173,Deventer,Deventer,Deventer,deventer,NL,knooppuntintercitystation,52.25749969,6.160555363
154,dvc,8400185,Deventer Colmschate,Colmschate,Colmschate,deventer-colmschate,NL,stoptreinstation,52.25027847,6.214444637
128,did,8400174,Didam,Didam,Didam,didam,NL,stoptreinstation,51.933502,6.1324106
135,dmn,8400165,Diemen,Diemen,Diemen,diemen,NL,stoptreinstation,52.34583282,4.965555668
136,dmnz,8400163,Diemen Zuid,Diemen Zuid,Diemen Z,diemen-zuid,NL,stoptreinstation,52.33027649,4.955833435
141,dr,8400176,Dieren,Dieren,Dieren,dieren,NL,intercitystation,52.04499817,6.103055477
145,dtc,8400177,Doetinchem,Doetinchem,Doetinchem,doetinchem,NL,knooppuntstoptreinstation,51.9585962,6.2962148
146,dtch,8400184,Doetinchem De Huet,De Huet,De Huet,doetinchem-de-huet,NL,stoptreinstation,51.9591413,6.2598521
124,ddr,8400180,Dordrecht,Dordrecht,Dordrecht,dordrecht,NL,knooppuntintercitystation,51.80722046,4.66833353
125,ddrs,8400186,Dordrecht Stadspolders,Stadspolders,Stadspldrs,dordrecht-stadspolders,NL,stoptreinstation,51.80194473,4.716666698
126,ddzd,8400181,Dordrecht Zuid,Dordrecht Zuid,Dordrcht Z,dordrecht-zuid,NL,stoptreinstation,51.79000092,4.671389103
122,db,8400182,Driebergen-Zeist,Driebergen-Zeist,Driebergen,driebergen-zeist,NL,knooppuntstoptreinstation,52.0652771,5.258611202
142,drh,8400183,Driehuis,Driehuis,Driehuis,driehuis,NL,stoptreinstation,52.44250107,4.638055325
143,drp,8400192,Dronrijp,Dronrijp,Dronrijp,dronrijp,NL,stoptreinstation,53.1778086,5.6347411
682,dron,8400198,Dronten,Dronten,Dronten,dronten,NL,stoptreinstation,52.5344,5.72089
156,dvn,8400193,Duiven,Duiven,Duiven,duiven,NL,stoptreinstation,51.94333267,6.014722347
155,dvd,8400194,Duivendrecht,Duivendrecht,Duivendt,duivendrecht,NL,knooppuntstoptreinstation,52.32333374,4.936388969
161,ec,8400195,Echt,Echt,Echt,echt,NL,stoptreinstation,51.10055542,5.878889084
163,edc,8400201,Ede Centrum,Ede C.,Ede C,ede-centrum,NL,stoptreinstation,52.04360962,5.66833353
162,ed,8400200,Ede-Wageningen,Ede-Wageningen,Ede-Wag,ede-wageningen,NL,knooppuntintercitystation,52.02777863,5.673055649
697,wtm,8400608,Eijs-Wittem,Eijs-Wittem,Eijs-Witt,eijs-wittem,NL,facultatiefstation,50.82317,5.92479
164,edn,8400219,Eijsden,Eijsden,Eijsden,eijsden,NL,stoptreinstation,50.77194595,5.710000038
168,ehv,8400206,Eindhoven,Eindhoven,Eindhoven,eindhoven,NL,knooppuntintercitystation,51.44333267,5.481389046
167,ehb,8400196,Eindhoven Beukenlaan,Beukenlaan,Beukenlaan,eindhoven-beukenlaan,NL,stoptreinstation,51.45111084,5.455833435
184,est,8400207,Elst,Elst,Elst,elst,NL,knooppuntstoptreinstation,51.9169426,5.855000019
173,emn,8400208,Emmen,Emmen,Emmen,emmen,NL,sneltreinstation,52.79000092,6.89944458
174,emnz,8400407,Emmen Zuid,Emmen Zuid,Emmen Z,emmen-zuid,NL,sneltreinstation,52.74886637,6.874780655
170,ekz,8400210,Enkhuizen,Enkhuizen,Enkhuizen,enkhuizen,NL,stoptreinstation,52.69916534,5.286388874
178,es,8400212,Enschede,Enschede,Enschede,enschede,NL,knooppuntintercitystation,52.22249985,6.889999866
181,ese,8400217,Enschede De Eschmarke,De Eschmarke,Eschmarke,enschede-de-eschmarke,NL,stoptreinstation,52.22138977,6.951111317
180,esd,8400221,Enschede Drienerlo,Drienerlo,Drienerlo,enschede-drienerlo,NL,stoptreinstation,52.23749924,6.838889122
172,eml,8400216,Ermelo,Ermelo,Ermelo,ermelo,NL,stoptreinstation,52.30166626,5.614722252
185,etn,8400218,Etten-Leur,Etten-Leur,Etten-Leur,etten-leur,NL,intercitystation,51.57500076,4.635833263
165,egh,8400338,Eygelshoven,Eygelshoven,Eygelshov,eygelshoven,NL,stoptreinstation,50.89055634,6.045000076
166,eghm,8400234,Eygelshoven Markt,Eygelshoven Mrkt,Eygelsh M,eygelshoven-markt,NL,stoptreinstation,50.89604982,6.060247421
187,fn,8400232,Franeker,Franeker,Franeker,franeker,NL,stoptreinstation,53.1824488,5.5483094
199,gdr,8400241,Gaanderen,Gaanderen,Gaanderen,gaanderen,NL,stoptreinstation,51.93074,6.3486
197,gdk,8400239,Geerdijk,Geerdijk,Geerdijk,geerdijk,NL,stoptreinstation,52.47625,6.56674
198,gdm,8400244,Geldermalsen,Geldermalsen,G'malsen,geldermalsen,NL,knooppuntstoptreinstation,51.88301,5.27127
209,gp,8400245,Geldrop,Geldrop,Geldrop,geldrop,NL,stoptreinstation,51.41972351,5.550555706
203,gln,8400246,Geleen Oost,Geleen Oost,Geleen O,geleen-oost,NL,stoptreinstation,50.96694565,5.843055725
320,lut,8400248,Geleen-Lutterade,Geleen-Lutterade,Geleen-Lut,geleen-lutterade,NL,stoptreinstation,50.97555542,5.82472229
218,gz,8400251,Gilze-Rijen,Gilze-Rijen,Gilze-Rij,gilze-rijen,NL,stoptreinstation,51.58361053,4.926111221
194,gbr,8400262,Glanerbrug,Glanerbrug,Glanerbrug,glanerbrug,NL,stoptreinstation,52.21861267,6.974444389
211,gs,8400253,Goes,Goes,Goes,goes,NL,stoptreinstation,51.4980545,3.89055562
207,go,8400254,Goor,Goor,Goor,goor,NL,stoptreinstation,52.23027802,6.584444523
210,gr,8400256,Gorinchem,Gorinchem,Gorinchem,gorinchem,NL,knooppuntstoptreinstation,51.83388901,4.968333244
195,gd,8400258,Gouda,Gouda,Gouda,gouda,NL,knooppuntintercitystation,52.01750183,4.704444408
196,gdg,8400257,Gouda Goverwelle,Gouda Goverwelle,Goverwelle,gouda-goverwelle,NL,stoptreinstation,52.01499939,4.740833282
193,gbg,8400259,Gramsbergen,Gramsbergen,Gramsbergn,gramsbergen,NL,stoptreinstation,52.60916519,6.675833225
202,gk,8400267,Grijpskerk,Grijpskerk,Grijpskerk,grijpskerk,NL,stoptreinstation,53.25574033,6.30977869
204,gn,8400263,Groningen,Groningen,Groningen,groningen,NL,knooppuntintercitystation,53.21055603,6.564722061
201,gerp,8400238,Groningen Europapark,Europapark,Europapark,groningen-europapark,NL,stoptreinstation,53.20480027,6.5854178
206,gnn,8400264,Groningen Noord,Groningen Noord,Groning N,groningen-noord,NL,stoptreinstation,53.2301469,6.5563172
217,gw,8400266,Grou-Jirnsum,Grou-Jirnsum,Grou-Jirns,grou-jirnsum,NL,stoptreinstation,53.08889008,5.822500229
696,wij,8400712,Gulpen-Wijlre,Gulpen-Wijlre,Gulpen-W,gulpen-wijlre,NL,facultatiefstation,50.833056,5.898056
244,hlm,8400285,Haarlem,Haarlem,Haarlem,haarlem,NL,knooppuntintercitystation,52.38777924,4.638333321
245,hlms,8400270,Haarlem Spaarnwoude,Spaarnwoude,Spaarnwde,haarlem-spaarnwoude,NL,stoptreinstation,52.38277817,4.673055649
684,hwzb,8400400,Halfweg-Zwanenburg,Halfweg-Zwanenb.,Halfweg-Zw,halfweg-zwanenburg,NL,stoptreinstation,52.385935,4.747165
226,hdb,8400293,Hardenberg,Hardenberg,Hardenberg,hardenberg,NL,sneltreinstation,52.57277679,6.628611088
225,hd,8400294,Harderwijk,Harderwijk,Harderwijk,harderwijk,NL,knooppuntstoptreinstation,52.33750153,5.619722366
685,hbzm,8400438,Hardinxveld Blauwe Zoom,Blauwe Zoom,Blauwe Z,hardinxveld-blauwe-zoom,NL,stoptreinstation,51.82944,4.81556
205,gnd,8400295,Hardinxveld-Giessendam,Hardinxveld-G.,Hardinxvld,hardinxveld-giessendam,NL,stoptreinstation,51.83055496,4.835833549
264,hrn,8400297,Haren,Haren,Haren,haren,NL,stoptreinstation,53.17610931,6.617222309
242,hlg,8400296,Harlingen,Harlingen,Harlingen,harlingen,NL,stoptreinstation,53.1704205,5.4251932
243,hlgh,8400298,Harlingen Haven,Harlingen Haven,Harl Haven,harlingen-haven,NL,stoptreinstation,53.174917,5.4112885
238,hk,8400317,Heemskerk,Heemskerk,Heemskerk,heemskerk,NL,stoptreinstation,52.4952774,4.686944485
219,had,8400302,Heemstede-Aerdenhout,Heemstede-A.,Heemstede,heemstede-aerdenhout,NL,intercitystation,52.35916519,4.606666565
260,hr,8400305,Heerenveen,Heerenveen,Heerenveen,heerenveen,NL,intercitystation,52.96138763,5.914166451
599,hry,8400301,Heerenveen IJsstadion,IJsstadion,H'veen IJs,heerenveen-ijsstadion,NL,facultatiefstation,52.93527603,5.943888664
274,hwd,8400306,Heerhugowaard,Heerhugowaard,Heerhugow,heerhugowaard,NL,knooppuntstoptreinstation,52.66972351,4.822777748
261,hrl,8400307,Heerlen,Heerlen,Heerlen,heerlen,NL,knooppuntintercitystation,50.89083481,5.974999905
263,hrlk,8400409,Heerlen De Kissel,Hrl De Kissel,De Kissel,heerlen-de-kissel,NL,stoptreinstation,50.89016893,5.9933424
262,hrlw,8400404,Heerlen Woonboulevard,Hrl Woonblvd,Heerlen W,heerlen-woonboulevard,NL,stoptreinstation,50.896667,5.952222
276,hze,8400308,Heeze,Heeze,Heeze,heeze,NL,stoptreinstation,51.38499832,5.569444656
246,hlo,8400309,Heiloo,Heiloo,Heiloo,heiloo,NL,stoptreinstation,52.59944534,4.700555325
254,hno,8400310,Heino,Heino,Heino,heino,NL,stoptreinstation,52.42722321,6.221111298
247,hm,8400313,Helmond,Helmond,Helmond,helmond,NL,knooppuntintercitystation,51.47555542,5.661944389
250,hmh,8400300,Helmond 't Hout,Helmond 't Hout,'t Hout,helmond-t-hout,NL,stoptreinstation,51.46794,5.63085
249,hmbv,8400242,Helmond Brandevoort,Brandevoort,Brandevrt,helmond-brandevoort,NL,stoptreinstation,51.46222305,5.60722208
248,hmbh,8400299,Helmond Brouwhuis,Brouwhuis,Brouwhuis,helmond-brouwhuis,NL,stoptreinstation,51.47068,5.70177
251,hmn,8400315,Hemmen-Dodewaard,Hemmen-Dodewaard,Hemmen-D,hemmen-dodewaard,NL,stoptreinstation,51.9222129,5.6737254
233,hgl,8400316,Hengelo,Hengelo,Hengelo,hengelo,NL,knooppuntintercitystation,52.26166534,6.793889046
686,hglg,8400433,Hengelo Gezondheidspark,Hengelo Gezondh.,Hengelo G,hengelo-gezondheidspark,NL,stoptreinstation,52.261667,6.773611
234,hglo,8400312,Hengelo Oost,Hengelo Oost,Hengelo O,hengelo-oost,NL,stoptreinstation,52.26889038,6.819444656
237,hil,8400329,Hillegom,Hillegom,Hillegom,hillegom,NL,stoptreinstation,52.30250168,4.565555573
271,hvs,8400322,Hilversum,Hilversum,Hilversum,hilversum,NL,knooppuntintercitystation,52.22583389,5.18194437
722,hvsm,8400324,Hilversum Media Park,Media Park,Media Park,hilversum-media-park,NL,stoptreinstation,52.23805618,5.173888683
273,hvsp,8400570,Hilversum Sportpark,Sportpark,Sportpark,hilversum-sportpark,NL,stoptreinstation,52.21611023,5.187222004
255,hnp,8400323,Hindeloopen,Hindeloopen,Hindeloopn,hindeloopen,NL,stoptreinstation,52.9464903,5.423063
240,hld,8400325,Hoek van Holland Haven,Hoek v H. Haven,HvH Haven,hoek-van-holland-haven,NL,knooppuntstoptreinstation,51.97527695,4.128889084
241,hlds,8400342,Hoek van Holland Strand,Hoek v H. Strand,HvH Strand,hoek-van-holland-strand,NL,stoptreinstation,51.98166656,4.119722366
224,hb,8400326,Hoensbroek,Hoensbroek,Hoensbroek,hoensbroek,NL,stoptreinstation,50.90555573,5.930555344
687,hvl,8400490,Hoevelaken,Hoevelaken,Hoevelaken,hoevelaken,NL,stoptreinstation,52.16652,5.45718
259,hor,8400327,Hollandsche Rading,Holl. Rading,Hol Rading,hollandsche-rading,NL,stoptreinstation,52.17777634,5.179166794
258,hon,8400328,Holten,Holten,Holten,holten,NL,stoptreinstation,52.28388977,6.420277596
232,hfd,8400332,Hoofddorp,Hoofddorp,Hoofddorp,hoofddorp,NL,stoptreinstation,52.29333496,4.700555325
235,hgv,8400330,Hoogeveen,Hoogeveen,Hoogeveen,hoogeveen,NL,stoptreinstation,52.73389053,6.473610878
236,hgz,8400331,Hoogezand-Sappemeer,Hoogezand-Sap.,Hoogezand,hoogezand-sappemeer,NL,knooppuntstoptreinstation,53.15981813,6.77075386
239,hks,8400334,Hoogkarspel,Hoogkarspel,Hoogkrspl,hoogkarspel,NL,stoptreinstation,52.69055557,5.183888912
252,hn,8400337,Hoorn,Hoorn,Hoorn,hoorn,NL,knooppuntintercitystation,52.64472198,5.055555344
253,hnk,8400336,Hoorn Kersenboogerd,Kersenboogerd,Hoorn Kers,hoorn-kersenboogerd,NL,stoptreinstation,52.65361023,5.085555553
265,hrt,8400339,Horst-Sevenum,Horst-Sevenum,Horst-Sev,horst-sevenum,NL,stoptreinstation,51.42638779,6.042222023
267,htn,8400340,Houten,Houten,Houten,houten,NL,knooppuntstoptreinstation,52.03402,5.16821
268,htnc,8400335,Houten Castellum,Castellum,Houten C,houten-castellum,NL,stoptreinstation,52.01701,5.17949
426,sgl,8400341,Houthem-St Gerlach,Houthem-St Gerl.,Houthem-St,houthem-st-gerlach,NL,stoptreinstation,50.87333298,5.797222137
228,hdg,8400292,Hurdegaryp,Hurdegaryp,Hurdegaryp,hurdegaryp,NL,stoptreinstation,53.2187783,5.934543
277,ijt,8400722,IJlst,IJlst,IJlst,ijlst,NL,stoptreinstation,53.0146614,5.6160801
294,kpn,8400353,Kampen,Kampen,Kampen,kampen,NL,stoptreinstation,52.5597229,5.921666622
688,kpnz,8400360,Kampen Zuid,Kampen Zuid,Kampen Z,kampen-zuid,NL,stoptreinstation,52.5331,5.91309
112,bzl,8400354,Kapelle-Biezelinge,Kapelle-Biezel.,Kapelle-B,kapelle-biezelinge,NL,stoptreinstation,51.48083496,3.956111193
295,krd,8400355,Kerkrade Centrum,Kerkrade C.,Kerkrade,kerkrade-centrum,NL,knooppuntstoptreinstation,50.86166763,6.057499886
610,krw,8400573,Kerkrade West,Kerkrade West,Kerkrade W,kerkrade-west,NL,facultatiefstation,50.85355,6.02578
299,ktr,8400359,Kesteren,Kesteren,Kesteren,kesteren,NL,stoptreinstation,51.9313869,5.5833465
282,kbk,8400361,Klarenbeek,Klarenbeek,Klarenbk,klarenbeek,NL,stoptreinstation,52.17805481,6.083611012
287,kmr,8400362,Klimmen-Ransdaal,Klimmen-Ransdaal,Klimmen-R,klimmen-ransdaal,NL,stoptreinstation,50.86639023,5.890555382
283,kbw,8400363,Koog Bloemwijk,Koog Bloemwijk,Koog Bloem,koog-bloemwijk,NL,stoptreinstation,52.45861053,4.805555344
301,kzd,8400364,Koog-Zaandijk,Koog-Zaandijk,Koog Zaand,koog-zaandijk,NL,stoptreinstation,52.4691658,4.804999828
288,kmw,8400366,Koudum-Molkwerum,Koudum-Molkwerum,Koudum-M,koudum-molkwerum,NL,stoptreinstation,52.9028197,5.4106913
281,kbd,8400367,Krabbendijke,Krabbendijke,Krabbendke,krabbendijke,NL,stoptreinstation,51.43333435,4.116944313
286,kma,8400368,Krommenie-Assendelft,Krommenie-Ass.,Krommenie,krommenie-assendelft,NL,stoptreinstation,52.49511,4.75417
300,kw,8400369,Kropswolde,Kropswolde,Kropswolde,kropswolde,NL,stoptreinstation,53.1617362,6.7220882
297,krg,8400370,Kruiningen-Yerseke,Kruiningen-Y.,Kruiningen,kruiningen-yerseke,NL,stoptreinstation,51.46500015,4.037222385
533,zlw,8400382,Lage Zwaluwe,Lage Zwaluwe,Lage Zwalu,lage-zwaluwe,NL,knooppuntstoptreinstation,51.69111252,4.66305542
312,lg,8400548,Landgraaf,Landgraaf,Landgraaf,landgraaf,NL,knooppuntstoptreinstation,50.89638901,6.01916647
307,ldm,8400386,Leerdam,Leerdam,Leerdam,leerdam,NL,stoptreinstation,51.89472198,5.091388702
321,lw,8400387,Leeuwarden,Leeuwarden,Leeuwarden,leeuwarden,NL,knooppuntintercitystation,53.19583511,5.792222023
709,adh,8400406,Leeuwarden Achter d Hoven,Achter de Hoven,Achter d.H,leeuwarden-achter-d-hoven,NL,facultatiefstation,53.19889,5.81639
322,lwc,8400389,Leeuwarden Camminghaburen,Camminghaburen,Camminghab,leeuwarden-camminghaburen,NL,stoptreinstation,53.2021808,5.8422968
308,ledn,8400390,Leiden Centraal,Leiden C.,Leiden C,leiden-centraal,NL,knooppuntintercitystation,52.16611099,4.481666565
306,ldl,8400384,Leiden Lammenschans,Lammenschans,Leiden Lam,leiden-lammenschans,NL,stoptreinstation,52.14694595,4.492499828
313,lls,8400394,Lelystad Centrum,Lelystad C.,Lelystad,lelystad-centrum,NL,knooppuntintercitystation,52.50777817,5.472777843
316,ltv,8400395,Lichtenvoorde-Groenlo,Lichtenvoorde-G.,Lichtenv-G,lichtenvoorde-groenlo,NL,stoptreinstation,52.01188,6.59641
304,lc,8400399,Lochem,Lochem,Lochem,lochem,NL,stoptreinstation,52.16666794,6.426388741
314,lp,8400403,Loppersum,Loppersum,Loppersum,loppersum,NL,stoptreinstation,53.3347145,6.7472625
315,ltn,8400405,Lunteren,Lunteren,Lunteren,lunteren,NL,stoptreinstation,52.08527756,5.624444485
348,mz,8400432,Maarheeze,Maarheeze,Maarheeze,maarheeze,NL,stoptreinstation,51.30376236,5.63034296
339,mrn,8400417,Maarn,Maarn,Maarn,maarn,NL,knooppuntstoptreinstation,52.06416702,5.369999886
327,mas,8400419,Maarssen,Maarssen,Maarssen,maarssen,NL,stoptreinstation,52.13527679,5.033611298
340,mss,8400422,Maassluis,Maassluis,Maassluis,maassluis,NL,knooppuntstoptreinstation,51.91611099,4.254722118
341,msw,8400421,Maassluis West,Maassluis West,Maassl W,maassluis-west,NL,stoptreinstation,51.92583466,4.236111164
342,mt,8400424,Maastricht,Maastricht,Maastricht,maastricht,NL,knooppuntintercitystation,50.85027695,5.705555439
723,mtn,8400449,Maastricht Noord,Maastricht Noord,Maastr N,maastricht-noord,NL,stoptreinstation,50.87087,5.71774
344,mtr,8400426,Maastricht Randwyck,Maastricht Randw,Maastr Rw,maastricht-randwyck,NL,knooppuntstoptreinstation,50.8386116,5.717222214
333,mg,8400427,Mantgum,Mantgum,Mantgum,mantgum,NL,stoptreinstation,53.1296368,5.7131996
338,mrb,8400428,Mariënberg,Mariënberg,Mariënberg,marienberg,NL,knooppuntsneltreinstation,52.50944519,6.575277805
343,mth,8400430,Martenshoek,Martenshoek,Martensh,martenshoek,NL,stoptreinstation,53.1607232,6.7402989
331,mes,8400434,Meerssen,Meerssen,Meerssen,meerssen,NL,sneltreinstation,50.88287939,5.750999451
337,mp,8400435,Meppel,Meppel,Meppel,meppel,NL,knooppuntstoptreinstation,52.69083405,6.197500229
329,mdb,8400436,Middelburg,Middelburg,Middelburg,middelburg,NL,stoptreinstation,51.49472046,3.617222309
335,mmlh,8400446,Mook Molenhoek,Molenhoek,Mook Molen,mook-molenhoek,NL,stoptreinstation,51.77158,5.88145
350,ndb,8400452,Naarden-Bussum,Naarden-Bussum,Naarden-B,naarden-bussum,NL,knooppuntstoptreinstation,52.28027725,5.156944275
349,na,8400454,Nieuw Amsterdam,Nieuw Amsterdam,Nw A'dam,nieuw-amsterdam,NL,sneltreinstation,52.71861267,6.848610878
364,nvp,8400460,Nieuw Vennep,Nieuw Vennep,Nw Vennep,nieuw-vennep,NL,stoptreinstation,52.25888824,4.645555496
365,nwk,8400455,Nieuwerkerk a/d IJssel,Nieuwerkerk,Nieuwerkrk,nieuwerkerk-a-d-ijssel,NL,stoptreinstation,51.96527863,4.616944313
354,nkk,8400469,Nijkerk,Nijkerk,Nijkerk,nijkerk,NL,stoptreinstation,52.22222137,5.493888855
355,nm,8400470,Nijmegen,Nijmegen,Nijmegen,nijmegen,NL,knooppuntintercitystation,51.84361267,5.852222443
356,nmd,8400475,Nijmegen Dukenburg,Dukenburg,Dukenburg,nijmegen-dukenburg,NL,stoptreinstation,51.82416534,5.795555592
762,nmgo,8400477,Nijmegen Goffert,Nijmegen Goffert,Goffert,nijmegen-goffert,NL,stoptreinstation,51.8273,5.822722
357,nmh,8400468,Nijmegen Heyendaal,Nm Heyendaal,Heyendaal,nijmegen-heyendaal,NL,stoptreinstation,51.82694626,5.867499828
358,nml,8400451,Nijmegen Lent,Nijmegen Lent,Lent,nijmegen-lent,NL,stoptreinstation,51.861811,5.859686
362,nvd,8400472,Nijverdal,Nijverdal,Nijverdal,nijverdal,NL,stoptreinstation,52.36555,6.471111
360,ns,8400466,Nunspeet,Nunspeet,Nunspeet,nunspeet,NL,stoptreinstation,52.37083435,5.785277843
352,nh,8400467,Nuth,Nuth,Nuth,nuth,NL,stoptreinstation,50.91944504,5.89277792
